"","date","group","session","rel_time","subject","behav1","behav2","type","change","time_hh_min","date_scan","data_part","time_window","date_part_scan","date_to_match","closest","choose_red","choose_blue","open","subject_index","n_obs_blue","n_obs_red","obs_index","id_all_index","date_time","hour","minute","second","hms","real_date","zz","sex","sex_index","age","age_index","male","adult","s_male_blue","s_male_red","s_adult_blue","s_adult_red","roost","s_roost_blue","s_roost_red","bout","tech_index","group_index","ac_r_init","ac_b_init","n_obs_total","f_obs_blue","f_obs_red"
"1263",2019-08-20,"BA",1,395.747,"B_V_BA","B","op","primary",FALSE,1406.59578333333,"BA 20190820 1","BA 20190820 1","BA 20190820 SCAN2",1410,201908201410,1,0,1,1,1,0,2,2976,1,201908201406.596,"14","06","35.4",14H 6M 35.4S,2019-08-20 14:06:35,2975,"M",2,"A",2,1,1,0,1,0,1,2,0,2,1,1,1,0,0,2,0,1
"1265",2019-08-20,"BA",1,421.165,"B_V_BA","B","op","primary",FALSE,1407.01941666667,"BA 20190820 1","BA 20190820 1","BA 20190820 SCAN2",1410,201908201410,1,0,1,1,1,2,1,2978,1,201908201407.019,"14","07","0.6",14H 7M 0.6S,2019-08-20 14:07:00,2976,"M",2,"A",2,1,1,1,1,1,1,2,2,1,2,1,1,0,0,3,0.666666666666667,0.333333333333333
"1268",2019-08-20,"BA",1,446.479,"B_V_BA","R","op","primary",FALSE,1407.44131666667,"BA 20190820 1","BA 20190820 1","BA 20190820 SCAN2",1410,201908201410,1,1,0,1,1,2,2,2981,1,201908201407.441,"14","07","26.4",14H 7M 26.4S,2019-08-20 14:07:26,2978,"M",2,"A",2,1,1,1,0,1,0,2,2,2,3,2,1,0,0,4,0.5,0.5
"1279",2019-08-20,"BA",1,583.915,"B_V_BA","R","op","primary",FALSE,1409.73191666667,"BA 20190820 1","BA 20190820 1","BA 20190820 SCAN2",1410,201908201410,1,1,0,1,1,0,4,2992,1,201908201409.732,"14","09","43.8",14H 9M 43.8S,2019-08-20 14:09:43,2989,"M",2,"A",2,1,1,0,1,0,1,2,0,4,4,2,1,0,0,4,0,1
"1289",2019-08-20,"BA",1,726.77,"B_V_BA","R","op","primary",FALSE,1412.11283333333,"BA 20190820 1","BA 20190820 1","BA 20190820 SCAN2",1410,201908201410,1,1,0,1,1,1,2,3002,1,201908201412.113,"14","12","6.6",14H 12M 6.6S,2019-08-20 14:12:06,3000,"M",2,"A",2,1,1,0,0,0,0,2,1,2,5,2,1,0,0,3,0.333333333333333,0.666666666666667
"1290",2019-08-20,"BA",1,745.572,"B_V_BA","B","op","primary",FALSE,1412.4262,"BA 20190820 1","BA 20190820 1","BA 20190820 SCAN2",1410,201908201410,1,0,1,1,1,1,3,3003,1,201908201412.426,"14","12","25.2",14H 12M 25.2S,2019-08-20 14:12:25,3000,"M",2,"A",2,1,1,0,1,0,1,2,1,3,6,1,1,0,0,4,0.25,0.75
"1292",2019-08-20,"BA",1,794.125,"B_V_BA","B","op","primary",FALSE,1413.23541666667,"BA 20190820 1","BA 20190820 1","BA 20190820 SCAN2",1410,201908201410,1,0,1,1,1,0,1,3005,1,201908201413.235,"14","13","13.8",14H 13M 13.8S,2019-08-20 14:13:13,3005,"M",2,"A",2,1,1,0,1,0,0,2,0,1,7,1,1,0,0,1,0,1
"1297",2019-08-20,"BA",1,879.8,"B_V_BA","B","op","primary",FALSE,1414.66333333333,"BA 20190820 1","BA 20190820 1","BA 20190820 SCAN2",1410,201908201410,1,0,1,1,1,0,2,3010,1,201908201414.663,"14","14","39.6",14H 14M 39.6S,2019-08-20 14:14:39,3009,"M",2,"A",2,1,1,0,0,0,0,2,0,2,8,1,1,0,0,2,0,1
"1395",2019-08-20,"BA",1,2198.931,"B_V_BA","B","op","primary",FALSE,1436.64885,"BA 20190820 1","BA 20190820 1","BA 20190820 SCAN5",1440,201908201440,1,0,1,1,1,1,2,3108,1,201908201436.649,"14","36","38.4",14H 36M 38.4S,2019-08-20 14:36:38,3106,"M",2,"A",2,1,1,0,0,0,1,2,1,1,9,1,1,0,0,3,0.333333333333333,0.666666666666667
"1397",2019-08-20,"BA",1,2227.725,"B_V_BA","R","op","primary",FALSE,1437.12875,"BA 20190820 1","BA 20190820 1","BA 20190820 SCAN5",1440,201908201440,1,1,0,1,1,2,1,3110,1,201908201437.129,"14","37","7.2",14H 37M 7.2S,2019-08-20 14:37:07,3108,"M",2,"A",2,1,1,1,0,1,0,2,2,1,10,2,1,0,0,3,0.666666666666667,0.333333333333333
"1404",2019-08-20,"BA",1,2328.507,"B_V_BA","B","op","primary",FALSE,1438.80845,"BA 20190820 1","BA 20190820 1","BA 20190820 SCAN5",1440,201908201440,1,0,1,1,1,1,2,3117,1,201908201438.808,"14","38","48",14H 38M 48S,2019-08-20 14:38:48,3115,"M",2,"A",2,1,1,0,1,1,1,2,0,2,11,1,1,0,0,3,0.333333333333333,0.666666666666667
"1408",2019-08-20,"BA",1,2402.735,"B_V_BA","B","op","primary",FALSE,1440.04558333333,"BA 20190820 1","BA 20190820 1","BA 20190820 SCAN5",1440,201908201440,1,0,1,1,1,1,1,3121,1,201908201440.046,"14","40","2.4",14H 40M 2.4S,2019-08-20 14:40:02,3120,"M",2,"A",2,1,1,1,0,0,0,2,1,1,12,1,1,0,0,2,0.5,0.5
"1415",2019-08-20,"BA",1,2537.19,"B_V_BA","R","op","primary",FALSE,1442.2865,"BA 20190820 1","BA 20190820 1","BA 20190820 SCAN5",1440,201908201440,1,1,0,1,1,2,1,3128,1,201908201442.286,"14","42","16.8",14H 42M 16.8S,2019-08-20 14:42:16,3126,"M",2,"A",2,1,1,1,1,1,0,2,1,1,13,2,1,0,0,3,0.666666666666667,0.333333333333333
