"","x","date","session","subject","colour","rel_time","nbr_ind","drops","behav","behav1","behav2","group","choose_red","choose_blue","open","subject_index","n_obs_blue","n_obs_red","obs_index","ID_all_index","forg_bout"
"1392",1392,20190821,2,"","1-RED",1792.62,NA,"op","Rop","R","op","BA",1,0,1,1,NA,NA,1392,NA,0
"1553",1553,20190822,2,"","1-RED",250.681,NA,"op","Rop","R","op","BA",1,0,1,1,NA,NA,1553,NA,0
"2006",2006,20190824,1,"","1-RED",198.113,16,"op","Rop","R","op","BA",1,0,1,1,NA,NA,2006,NA,0
"2041",2041,20190824,1,"","1-RED",310.318,13,"op","Rop","R","op","BA",1,0,1,1,NA,NA,2041,NA,0
"2149",2149,20190824,1,"","1-BLUE",724.869,9,"op","Bop","B","op","BA",0,1,1,1,NA,NA,2149,NA,0
"958",958,20190820,1,"B_V_BA","1-BLUE",395.747,2,"op","Bop","B","op","BA",0,1,1,4,0,15,958,1,0
"960",960,20190820,1,"B_V_BA","1-BLUE",421.165,0,"op","Bop","B","op","BA",0,1,1,4,0,15,960,1,0
"963",963,20190820,1,"B_V_BA","1-RED",446.479,2,"op","Rop","R","op","BA",1,0,1,4,0,15,963,1,0
"974",974,20190820,1,"B_V_BA","1-RED",583.915,3,"op","Rop","R","op","BA",1,0,1,4,0,15,974,1,0
"984",984,20190820,1,"B_V_BA","1-RED",726.77,1,"op","Rop","R","op","BA",1,0,1,4,0,15,984,1,0
"985",985,20190820,1,"B_V_BA","1-BLUE",745.572,1,"op","Bop","B","op","BA",0,1,1,4,0,15,985,1,0
"987",987,20190820,1,"B_V_BA","1-BLUE",794.125,1,"op","Bop","B","op","BA",0,1,1,4,0,15,987,1,0
"992",992,20190820,1,"B_V_BA","1-BLUE",879.8,0,"op","Bop","B","op","BA",0,1,1,4,0,15,992,1,0
"1090",1090,20190820,1,"B_V_BA","1-BLUE",2198.931,6,"op","Bop","B","op","BA",0,1,1,4,0,15,1090,1,0
"1092",1092,20190820,1,"B_V_BA","1-RED",2227.725,5,"op","Rop","R","op","BA",1,0,1,4,0,15,1092,1,0
"1098",1098,20190820,1,"B_V_BA","1-BLUE",2328.507,1,"op","Bop","B","op","BA",0,1,1,4,0,15,1098,1,0
"1102",1102,20190820,1,"B_V_BA","1-BLUE",2402.735,3,"op","Bop","B","op","BA",0,1,1,4,0,15,1102,1,0
"1109",1109,20190820,1,"B_V_BA","1-RED",2537.19,1,"op","Rop","R","op","BA",1,0,1,4,0,15,1109,1,0
"1484",1484,20190822,2,"B_V_BA","1-RED",101.165,6,"op","Rop","R","op","BA",1,0,1,4,0,39,1484,1,0
"2238",2238,20190824,1,"B_V_BA","1-BLUE",1022.636,10,"op","Bop","B","op","BA",0,1,1,4,0,46,2238,1,0
"2420",2420,20190825,2,"B_V_BA","1-RED",490.744,5,"op","Rop","R","op","BA",1,0,1,4,0,47,2420,1,0
"2463",2463,20190825,2,"B_V_BA","1-RED",588.534,5,"op","Rop","R","op","BA",1,0,1,4,0,47,2463,1,0
"2516",2516,20190825,2,"B_V_BA","1-RED",814.468,8,"op","Rop","R","op","BA",1,0,1,4,0,47,2516,1,0
"2535",2535,20190825,2,"B_V_BA","1-BLUE",843.918,7,"op","Bop","B","op","BA",0,1,1,4,0,47,2535,1,0
"2542",2542,20190825,1,"B_V_BA","1-BLUE",851.241,2,"op","Bop","B","op","BA",0,1,1,4,0,47,2542,1,0
"2547",2547,20190825,2,"B_V_BA","1-RED",857.514,5,"op","Rop","R","op","BA",1,0,1,4,0,47,2547,1,0
"2561",2561,20190825,2,"B_V_BA","1-BLUE",880.154,7,"op","Bop","B","op","BA",0,1,1,4,0,47,2561,1,0
"2580",2580,20190825,2,"B_V_BA","1-RED",911.165,5,"op","Rop","R","op","BA",1,0,1,4,0,47,2580,1,0
"2593",2593,20190825,2,"B_V_BA","1-BLUE",939.827,4,"op","Bop","B","op","BA",0,1,1,4,0,47,2593,1,0
"2615",2615,20190825,2,"B_V_BA","1-BLUE",976.907,5,"op","Bop","B","op","BA",0,1,1,4,0,47,2615,1,0
"2624",2624,20190825,1,"B_V_BA","1-BLUE",999.863,7,"op","Bop","B","op","BA",0,1,1,4,0,47,2624,1,0
"2637",2637,20190825,2,"B_V_BA","1-RED",1029.765,6,"op","Rop","R","op","BA",1,0,1,4,0,47,2637,1,0
"2651",2651,20190825,2,"B_V_BA","1-BLUE",1085.478,9,"op","Bop","B","op","BA",0,1,1,4,0,47,2651,1,0
"2664",2664,20190825,2,"B_V_BA","1-BLUE",1126.595,6,"op","Bop","B","op","BA",0,1,1,4,0,47,2664,1,0
"2683",2683,20190825,2,"B_V_BA","1-BLUE",1197.636,6,"op","Bop","B","op","BA",0,1,1,4,0,47,2683,1,0
"2696",2696,20190825,2,"B_V_BA","1-RED",1250.177,7,"drops","Rdr","R","dr","BA",1,0,0,4,0,47,2696,1,0
"2698",2698,20190825,2,"B_V_BA","1-BLUE",1254.233,8,"op","Bop","B","op","BA",0,1,1,4,0,47,2698,1,0
"2727",2727,20190825,2,"B_V_BA","1-BLUE",1423.519,4,"op","Bop","B","op","BA",0,1,1,4,0,47,2727,1,0
"2757",2757,20190825,2,"B_V_BA","1-BLUE",1641.762,6,"op","Bop","B","op","BA",0,1,1,4,0,47,2757,1,0
