"","Ind. Learn mean","Ind. Learn sd","Ind. Learn 5.5%","Ind. Learn 94.5%","Freq. Dep mean","Freq. Dep sd","Freq. Dep 5.5%","Freq. Dep 94.5%","Male-bias mean","Male-bias sd","Male-bias 5.5%","Male-bias 94.5%","Adult-bias mean","Adult-bias sd","Adult-bias 5.5%","Adult-bias 94.5%","Roost-bias mean","Roost-bias sd","Roost-bias 5.5%","Roost-bias 94.5%","NA"
"19","lambda[a,f]",2.66322199338584,1.18020581591438,2.03336383862281,3.44931565328368,2.89640144810615,2.66322199338584,1.18020581591438,2.03336383862281,3.44931565328368,2.89640144810615,2.66322199338584,1.18020581591438,2.03336383862281,3.44931565328368,2.89640144810615,2.66322199338584,1.18020581591438,2.03336383862281,3.44931565328368,2.89640144810615
"20","lambda[a,m]",2.34778076229416,1.14848765642898,1.87702133672287,2.92577645453829,2.52847401085048,2.34778076229416,1.14848765642898,1.87702133672287,2.92577645453829,2.52847401085048,2.34778076229416,1.14848765642898,1.87702133672287,2.92577645453829,2.52847401085048,2.34778076229416,1.14848765642898,1.87702133672287,2.92577645453829,2.52847401085048
"21","lambda[a,u]",2.62837365228408,1.13157034535983,2.15242047236342,3.19771502480907,2.93411945225877,2.62837365228408,1.13157034535983,2.15242047236342,3.19771502480907,2.93411945225877,2.62837365228408,1.13157034535983,2.15242047236342,3.19771502480907,2.93411945225877,2.62837365228408,1.13157034535983,2.15242047236342,3.19771502480907,2.93411945225877
"22","lambda[j,f]",2.80271020459144,1.12738322600178,2.32446151322692,3.40048527711296,2.82920157323454,2.80271020459144,1.12738322600178,2.32446151322692,3.40048527711296,2.82920157323454,2.80271020459144,1.12738322600178,2.32446151322692,3.40048527711296,2.82920157323454,2.80271020459144,1.12738322600178,2.32446151322692,3.40048527711296,2.82920157323454
"23","lambda[j,m]",2.4394674316147,1.09117603317322,2.12127822858156,2.80615550811412,2.41023192786297,2.4394674316147,1.09117603317322,2.12127822858156,2.80615550811412,2.41023192786297,2.4394674316147,1.09117603317322,2.12127822858156,2.80615550811412,2.41023192786297,2.4394674316147,1.09117603317322,2.12127822858156,2.80615550811412,2.41023192786297
"24","lambda[j,u]",2.70212814890002,1.81957175672054,1.03917638250065,7.15076003744543,2.72306290153916,2.70212814890002,1.81957175672054,1.03917638250065,7.15076003744543,2.72306290153916,2.70212814890002,1.81957175672054,1.03917638250065,7.15076003744543,2.72306290153916,2.70212814890002,1.81957175672054,1.03917638250065,7.15076003744543,2.72306290153916
"25","lambda[u,f]",1.98132678681108,1.38563476328624,1.17285004778602,3.32911798653507,1.98351131830182,1.98132678681108,1.38563476328624,1.17285004778602,3.32911798653507,1.98351131830182,1.98132678681108,1.38563476328624,1.17285004778602,3.32911798653507,1.98351131830182,1.98132678681108,1.38563476328624,1.17285004778602,3.32911798653507,1.98351131830182
"26","lambda[u,m]",1.76201981262704,1.20955076639123,1.29750590875332,2.37313495052466,1.47207599757047,1.76201981262704,1.20955076639123,1.29750590875332,2.37313495052466,1.47207599757047,1.76201981262704,1.20955076639123,1.29750590875332,2.37313495052466,1.47207599757047,1.76201981262704,1.20955076639123,1.29750590875332,2.37313495052466,1.47207599757047
"27","lambda[u,u]",2.2407853951546,1.0855100108242,1.96013100442275,2.54337877896482,2.56194611985029,2.2407853951546,1.0855100108242,1.96013100442275,2.54337877896482,2.56194611985029,2.2407853951546,1.0855100108242,1.96013100442275,2.54337877896482,2.56194611985029,2.2407853951546,1.0855100108242,1.96013100442275,2.54337877896482,2.56194611985029
"37","phi[a,f]",0.251017242982518,0.56865670408908,0.177679267131653,0.342097094857865,0.228165247856477,0.251017242982518,0.56865670408908,0.177679267131653,0.342097094857865,0.228165247856477,0.251017242982518,0.56865670408908,0.177679267131653,0.342097094857865,0.228165247856477,0.251017242982518,0.56865670408908,0.177679267131653,0.342097094857865,0.228165247856477
"38","phi[a,m]",0.216631348705944,0.560590724931582,0.157399345304781,0.287351706096133,0.218527617878474,0.216631348705944,0.560590724931582,0.157399345304781,0.287351706096133,0.218527617878474,0.216631348705944,0.560590724931582,0.157399345304781,0.287351706096133,0.218527617878474,0.216631348705944,0.560590724931582,0.157399345304781,0.287351706096133,0.218527617878474
"39","phi[a,u]",0.181153211216475,0.544798342240886,0.142717016805694,0.227806444039067,0.174800413727482,0.181153211216475,0.544798342240886,0.142717016805694,0.227806444039067,0.174800413727482,0.181153211216475,0.544798342240886,0.142717016805694,0.227806444039067,0.174800413727482,0.181153211216475,0.544798342240886,0.142717016805694,0.227806444039067,0.174800413727482
"40","phi[j,f]",0.201136335997199,0.554945596030958,0.150536818925861,0.26497596998571,0.212302407768952,0.201136335997199,0.554945596030958,0.150536818925861,0.26497596998571,0.212302407768952,0.201136335997199,0.554945596030958,0.150536818925861,0.26497596998571,0.212302407768952,0.201136335997199,0.554945596030958,0.150536818925861,0.26497596998571,0.212302407768952
"41","phi[j,m]",0.229765954307112,0.534024516339487,0.193592744076688,0.270260134643243,0.240551546289587,0.229765954307112,0.534024516339487,0.193592744076688,0.270260134643243,0.240551546289587,0.229765954307112,0.534024516339487,0.193592744076688,0.270260134643243,0.240551546289587,0.229765954307112,0.534024516339487,0.193592744076688,0.270260134643243,0.240551546289587
"42","phi[j,u]",0.506801397392051,0.734129353691565,0.170690210063461,0.838717506270715,0.500320240716973,0.506801397392051,0.734129353691565,0.170690210063461,0.838717506270715,0.500320240716973,0.506801397392051,0.734129353691565,0.170690210063461,0.838717506270715,0.500320240716973,0.506801397392051,0.734129353691565,0.170690210063461,0.838717506270715,0.500320240716973
"43","phi[u,f]",0.214054618874556,0.612440778362498,0.117628174726346,0.360407434092316,0.250399524848623,0.214054618874556,0.612440778362498,0.117628174726346,0.360407434092316,0.250399524848623,0.214054618874556,0.612440778362498,0.117628174726346,0.360407434092316,0.250399524848623,0.214054618874556,0.612440778362498,0.117628174726346,0.360407434092316,0.250399524848623
"44","phi[u,m]",0.24441234143304,0.573981676508147,0.168084107634256,0.341220783180472,0.257400957407234,0.24441234143304,0.573981676508147,0.168084107634256,0.341220783180472,0.257400957407234,0.24441234143304,0.573981676508147,0.168084107634256,0.341220783180472,0.257400957407234,0.24441234143304,0.573981676508147,0.168084107634256,0.341220783180472,0.257400957407234
"45","phi[u,u]",0.190184373872741,0.533751161039563,0.158919151146316,0.225758438223133,0.180471961832329,0.190184373872741,0.533751161039563,0.158919151146316,0.225758438223133,0.180471961832329,0.190184373872741,0.533751161039563,0.158919151146316,0.225758438223133,0.180471961832329,0.190184373872741,0.533751161039563,0.158919151146316,0.225758438223133,0.180471961832329
"28","gamma[a,f]",NA,NA,NA,NA,0.353156927723934,NA,NA,NA,NA,0.353156927723934,NA,NA,NA,NA,0.353156927723934,NA,NA,NA,NA,0.353156927723934
"29","gamma[a,m]",NA,NA,NA,NA,0.168520551827589,NA,NA,NA,NA,0.168520551827589,NA,NA,NA,NA,0.168520551827589,NA,NA,NA,NA,0.168520551827589
"30","gamma[a,u]",NA,NA,NA,NA,0.217207155970569,NA,NA,NA,NA,0.217207155970569,NA,NA,NA,NA,0.217207155970569,NA,NA,NA,NA,0.217207155970569
"31","gamma[j,f]",NA,NA,NA,NA,0.190241267288797,NA,NA,NA,NA,0.190241267288797,NA,NA,NA,NA,0.190241267288797,NA,NA,NA,NA,0.190241267288797
"32","gamma[j,m]",NA,NA,NA,NA,0.168739068312769,NA,NA,NA,NA,0.168739068312769,NA,NA,NA,NA,0.168739068312769,NA,NA,NA,NA,0.168739068312769
