"","DATE","SESSION","SUBJECT","COLOUR","REL.TIME","NBR.IND","DROPS","BEHAV","BEHAV1","BEHAV2","GROUP"
"1","20190814","1","MVT_V_BA","1-BLUE",2065.713,"0","op","Bop","B","op","BA"
"2","20190814","1","MVT_V_BA","1-BLUE",2084.038,"0","op","Bop","B","op","BA"
"3","20190814","1","MVT_V_BA","1-RED",2125.42,"1","op","Rop","R","op","BA"
"4","20190814","1","MVT_V_BA","1-RED",2170.589,"1","op","Rop","R","op","BA"
"5","20190814","1","MVT_V_BA","1-RED",2218.584,"1","op","Rop","R","op","BA"
"6","20190814","1","MVT_V_BA","1-RED",2266.724,"0","op","Rop","R","op","BA"
"7","20190814","1","MVT_V_BA","1-RED",2324.836,"1","op","Rop","R","op","BA"
"8","20190814","1","MVT_V_BA","1-BLUE",2355.696,"1","op","Bop","B","op","BA"
"9","20190814","1","MVT_V_BA","1-BLUE",2452.735,"1","op","Bop","B","op","BA"
"10","20190814","1","BVP_V_BA","1-RED",2487.867,"0","op","Rop","R","op","BA"
"11","20190814","1","BVP_V_BA","1-RED",2682.425,"0","op","Rop","R","op","BA"
"12","20190814","1","BVP_V_BA","1-RED",4141.098,"1","op","Rop","R","op","BA"
"13","20190814","1","BPO_V_BA","1-RED",4148.41,"2","op","Rop","R","op","BA"
"14","20190814","1","BPO_V_BA","1-BLUE",4174.274,"2","op","Bop","B","op","BA"
"15","20190814","1","BPO_V_BA","1-RED",4210.223,"4","op","Rop","R","op","BA"
"16","20190814","1","BTP_V_BA","1-RED",4213.166,"4","op","Rop","R","op","BA"
"17","20190814","1","BPO_V_BA","1-RED",4234.245,"3","op","Rop","R","op","BA"
"18","20190814","1","BPO_V_BA","1-RED",4250.102,"5","op","Rop","R","op","BA"
"19","20190814","1","BPO_V_BA","1-RED",4284.571,"4","op","Rop","R","op","BA"
"20","20190814","1","BPO_V_BA","1-RED",4306.219,"3","op","Rop","R","op","BA"
"21","20190814","1","BPO_V_BA","1-RED",4330.337,"5","op","Rop","R","op","BA"
"22","20190814","1","BPO_V_BA","1-RED",4351.891,"4","op","Rop","R","op","BA"
"23","20190814","1","BTP_V_BA","1-RED",4357.493,"5","op","Rop","R","op","BA"
"24","20190814","1","BPO_V_BA","1-RED",4380.944,"4","op","Rop","R","op","BA"
"25","20190814","1","BPO_V_BA","1-RED",4412.659,"5","op","Rop","R","op","BA"
"26","20190814","1","BPO_V_BA","1-RED",4435.922,"4","op","Rop","R","op","BA"
"27","20190814","1","BON_V_BA","1-RED",4448.171,"5","op","Rop","R","op","BA"
"28","20190814","1","BPO_V_BA","1-RED",4488.622,"5","op","Rop","R","op","BA"
"29","20190814","1","BVP_V_BA","1-RED",4507.897,"5","op","Rop","R","op","BA"
"30","20190814","1","BTP_V_BA","1-RED",4512.17,"5","op","Rop","R","op","BA"
"31","20190814","1","BPO_V_BA","1-RED",4548.539,"3","op","Rop","R","op","BA"
"32","20190814","1","MVG_V_BA","1-RED",4550.817,"3","op","Rop","R","op","BA"
"33","20190814","1","BPO_V_BA","1-RED",4586.041,"2","op","Rop","R","op","BA"
"34","20190814","1","BPO_V_BA","1-RED",4605.886,"2","op","Rop","R","op","BA"
"35","20190814","1","ONP_V_BA","1-RED",4631.236,"1","op","Rop","R","op","BA"
"36","20190814","1","BPO_V_BA","1-BLUE",4659.168,"2","op","Bop","B","op","BA"
"37","20190815","1","BPO_V_BA","1-RED",37.38,"0","op","Rop","R","op","BA"
"38","20190815","1","MVT_V_BA","1-BLUE",45.558,"0","op","Bop","B","op","BA"
"39","20190815","1","MVT_V_BA","1-RED",68.753,"0","op","Rop","R","op","BA"
"40","20190815","1","MVT_V_BA","1-BLUE",101.003,"0","op","Bop","B","op","BA"
"41","20190815","1","MVT_V_BA","1-BLUE",119.919,"0","op","Bop","B","op","BA"
"42","20190815","1","MVT_V_BA","1-BLUE",137.228,"0","op","Bop","B","op","BA"
"43","20190815","1","MVT_V_BA","1-BLUE",186.528,"2","op","Bop","B","op","BA"
"44","20190815","1","MVT_V_BA","1-RED",238.175,"1","op","Rop","R","op","BA"
"45","20190815","1","MVT_V_BA","1-BLUE",273.828,"1","op","Bop","B","op","BA"
"46","20190815","1","BPO_V_BA","1-RED",323.768,"2","op","Rop","R","op","BA"
"47","20190815","1","NGO_V_MA","1-RED",383.443,"0","op","Rop","R","op","BA"
"48","20190815","1","MVT_V_BA","1-RED",395.765,"2","op","Rop","R","op","BA"
