"","DATE","SESSION","SUBJECT","COLOUR","REL.TIME","NBR.IND","DROPS","BEHAV","BEHAV1","BEHAV2","GROUP"
"1","20190814","1","011","1-RED",55.243,"0","op","Rop","R","op","CG"
"2","20190814","1","BNV_H_CG","1-RED",65.308,"1","op","Rop","R","op","CG"
"3","20190814","1","011","1-RED",72.337,NA,"op","Rop","R","op","CG"
"4","20190814","1","011","1-RED",87.236,"1","op","Rop","R","op","CG"
"5","20190814","1","TNG_H_CG","1-RED",149.292,"3","op","Rop","R","op","CG"
"6","20190814","1","TNG_H_CG","1-RED",156.591,NA,"op","Rop","R","op","CG"
"7","20190814","1","011","1-RED",174.125,"0","op","Rop","R","op","CG"
"8","20190814","1","011","1-RED",190.122,"2","op","Rop","R","op","CG"
"9","20190814","1","011","1-RED",192.354,NA,"op","Rop","R","op","CG"
"10","20190814","1","VGV_H_CG","1-RED",197.199,NA,"op","Rop","R","op","CG"
"11","20190814","1","PBG_H_CG","1-RED",199.288,"0","op","Rop","R","op","CG"
"12","20190814","1","VGV_H_CG","1-RED",202.991,NA,"op","Rop","R","op","CG"
"13","20190814","1","PBG_H_CG","1-RED",206.504,NA,"op","Rop","R","op","CG"
"14","20190814","1","011","1-RED",236.603,"0","op","Rop","R","op","CG"
"15","20190814","1","VGV_H_CG","1-RED",246.003,"3","op","Rop","R","op","CG"
"16","20190814","1","VGV_H_CG","1-RED",248.567,NA,"op","Rop","R","op","CG"
"17","20190814","1","011","1-RED",253.693,NA,"op","Rop","R","op","CG"
"18","20190814","1","011","1-RED",255.974,"3","op","Rop","R","op","CG"
"19","20190814","1","TNG_H_CG","1-RED",268.982,"2","op","Rop","R","op","CG"
"20","20190814","1","TNG_H_CG","1-RED",273.823,NA,"op","Rop","R","op","CG"
"21","20190814","1","011","1-RED",298.227,NA,"op","Rop","R","op","CG"
"22","20190814","1","011","1-RED",301.361,"2","op","Rop","R","op","CG"
"23","20190814","1","PBG_H_CG","1-RED",317.883,"3","op","Rop","R","op","CG"
"24","20190814","1","011","1-RED",321.966,NA,"op","Rop","R","op","CG"
"25","20190814","1","011","1-RED",343.045,"3","op","Rop","R","op","CG"
"26","20190814","1","VGV_H_CG","1-RED",355.579,"2","drops","Rdr","R","dr","CG"
"27","20190814","1","PBG_H_CG","1-RED",358.351,NA,"op","Rop","R","op","CG"
"28","20190814","1","VGV_H_CG","1-RED",358.521,NA,"drops","Rdr","R","dr","CG"
"29","20190814","1","TNG_H_CG","1-RED",359.663,"1","op","Rop","R","op","CG"
"30","20190814","1","VGV_H_CG","1-RED",394.225,"0","op","Rop","R","op","CG"
"31","20190814","1","VGV_H_CG","1-RED",426.592,NA,"drops","Rdr","R","dr","CG"
"32","20190814","1","","1-RED",430.117,NA,"op","Rop","R","op","CG"
"33","20190814","1","011","1-RED",442.936,"0","op","Rop","R","op","CG"
"34","20190814","1","VGV_H_CG","1-RED",548.331,"1","op","Rop","R","op","CG"
"35","20190814","1","VGV_H_CG","1-RED",553.077,NA,"drops","Rdr","R","dr","CG"
"36","20190814","1","TNG_H_CG","1-RED",556.522,"0","op","Rop","R","op","CG"
"37","20190814","1","TNG_H_CG","1-RED",689.243,"0","op","Rop","R","op","CG"
"38","20190814","1","TNG_H_CG","1-RED",693.411,NA,"op","Rop","R","op","CG"
"39","20190814","1","VTG_H_CG","1-RED",765.013,"0","drops","Rdr","R","dr","CG"
"40","20190814","1","VTG_H_CG","1-RED",767.765,NA,"drops","Rdr","R","dr","CG"
"41","20190814","1","BNV_H_CG","1-RED",799.479,NA,"op","Rop","R","op","CG"
"42","20190814","1","BNV_H_CG","1-RED",799.48,"1","op","Rop","R","op","CG"
"43","20190814","1","PBG_H_CG","1-RED",810.02,"0","op","Rop","R","op","CG"
"44","20190814","1","PBG_H_CG","1-RED",842.588,NA,"drops","Rdr","R","dr","CG"
"45","20190814","1","PBG_H_CG","1-RED",842.778,"0","op","Rop","R","op","CG"
"46","20190814","1","PBG_H_CG","1-RED",844.772,NA,"op","Rop","R","op","CG"
"47","20190814","1","011","1-RED",917.493,"1","op","Rop","R","op","CG"
"48","20190814","1","011","1-RED",919.879,NA,"op","Rop","R","op","CG"
"49","20190814","1","TNG_H_CG","1-RED",949.695,NA,"op","Rop","R","op","CG"
"50","20190814","1","TNG_H_CG","1-RED",965.836,NA,"op","Rop","R","op","CG"
"51","20190814","1","VGV_H_CG","1-RED",1039.328,NA,"op","Rop","R","op","CG"
"52","20190814","1","VGV_H_CG","1-RED",1041.452,NA,"op","Rop","R","op","CG"
"53","20190814","1","PBG_H_CG","1-RED",1216.792,"0","op","Rop","R","op","CG"
"54","20190814","1","PBG_H_CG","1-RED",1221.456,NA,"drops","Rdr","R","dr","CG"
"55","20190814","1","PBG_H_CG","1-RED",1222.121,"0","op","Rop","R","op","CG"
"56","20190814","1","TNG_H_CG","1-RED",1250.797,"1","op","Rop","R","op","CG"
"57","20190814","1","TNG_H_CG","1-RED",1254.594,NA,"op","Rop","R","op","CG"
"58","20190814","1","PBG_H_CG","1-RED",1283.84,NA,"op","Rop","R","op","CG"
"59","20190814","1","PBG_H_CG","1-RED",1300.742,"0","op","Rop","R","op","CG"
"60","20190814","1","PBG_H_CG","1-RED",1304.54,NA,"op","Rop","R","op","CG"
"61","20190814","1","011","1-RED",1307.864,"0","op","Rop","R","op","CG"
"62","20190814","1","011","1-RED",1316.883,NA,"op","Rop","R","op","CG"
"63","20190814","1","VPNT_H_CG","1-RED",1321.631,"2","op","Rop","R","op","CG"
"64","20190814","1","VGV_H_CG","1-RED",1331.696,"3","op","Rop","R","op","CG"
"65","20190814","1","TNG_H_CG","1-RED",1335.778,"3","op","Rop","R","op","CG"
"66","20190814","1","TNG_H_CG","1-RED",1341.191,NA,"op","Rop","R","op","CG"
"67","20190814","1","VGV_H_CG","1-RED",1350.021,NA,"op","Rop","R","op","CG"
"68","20190814","1","VGV_H_CG","1-RED",1369.899,"1","op","Rop","R","op","CG"
"69","20190814","1","VPNT_H_CG","1-RED",1378.635,"2","op","Rop","R","op","CG"
"70","20190814","1","VPV_H_CG","1-BLUE",1384.428,"1","op","Bop","B","op","CG"
"71","20190814","1","VPNT_H_CG","1-RED",1409.021,NA,"drops","Rdr","R","dr","CG"
"72","20190814","1","VPNT_H_CG","1-RED",1410.541,"1","op","Rop","R","op","CG"
"73","20190814","1","TNG_H_CG","1-BLUE",1442.919,"1","op","Bop","B","op","CG"
"74","20190814","1","PBG_H_CG","1-RED",1614.984,"1","op","Rop","R","op","CG"
"75","20190814","1","VPG_H_CG","1-RED",1614.984,"1","op","Rop","R","op","CG"
"76","20190814","1","VPNT_H_CG","1-BLUE",1614.984,"1","op","Bop","B","op","CG"
"77","20190814","1","VPNT_H_CG","1-RED",1615.584,"1","op","Rop","R","op","CG"
