"","DATE","SESSION","SUBJECT","COLOUR","REL.TIME","NBR.IND","DROPS","BEHAV","BEHAV1","BEHAV2","GROUP"
"1","20190817","1","OMP_V_BA","1-RED",76.422,"2","op","Rop","R","op","NB"
"2","20190817","1","OMP_V_BA","1-RED",278.974,"0","op","Rop","R","op","NB"
"3","20190817","1","OMP_V_BA","1-RED",563.55,"0","op","Rop","R","op","NB"
"4","20190817","1","OMP_V_BA","1-RED",585.771,"0","op","Rop","R","op","NB"
"5","20190817","1","Msmu_V_BA","1-RED",649.745,"3","op","Rop","R","op","NB"
"6","20190817","1","PTB1_V_NB","1-RED",668.856,"3","op","Rop","R","op","NB"
"7","20190817","1","OGB_V_BA","1-RED",689.934,"0","op","Rop","R","op","NB"
"8","20190817","1","Msmu_V_BA","1-RED",717.278,"0","op","Rop","R","op","NB"
"9","20190817","1","Msmu_V_BA","1-BLUE",726.489,"0","op","Bop","B","op","NB"
"10","20190817","1","Msmu_V_BA","1-BLUE",739.625,"0","op","Bop","B","op","NB"
"11","20190817","1","Msmu_V_BA","1-RED",750.075,"0","op","Rop","R","op","NB"
"12","20190817","1","Msmu_V_BA","1-RED",765.303,"0","op","Rop","R","op","NB"
"13","20190817","1","PTB1_V_NB","1-RED",785.527,NA,"op","Rop","R","op","NB"
"14","20190817","1","OMP_V_BA","1-RED",975.147,"0","op","Rop","R","op","NB"
"15","20190817","1","OMP_V_BA","1-RED",1123.363,"0","op","Rop","R","op","NB"
"16","20190817","1","PTB1_V_NB","1-RED",1132.958,"1","op","Rop","R","op","NB"
"17","20190817","1","PTB1_V_NB","1-RED",1243.572,"1","op","Rop","R","op","NB"
"18","20190817","1","OMP_V_BA","1-RED",1269.32,"2","op","Rop","R","op","NB"
"19","20190817","1","PTB1_V_NB","1-RED",1281.087,"2","op","Rop","R","op","NB"
"20","20190817","1","OMP_V_BA","1-RED",1312.327,"2","drops","Rdr","R","dr","NB"
"21","20190817","1","TBT_V_BA","1-RED",1315.88,"2","op","Rop","R","op","NB"
"22","20190817","1","OGB_V_BA","1-RED",1323.629,"2","op","Rop","R","op","NB"
"23","20190817","1","TBT_V_BA","1-RED",1395.258,"2","op","Rop","R","op","NB"
"24","20190817","1","GB_V_NB","1-RED",1442.261,"2","op","Rop","R","op","NB"
"25","20190817","1","TBT_V_BA","1-RED",1463.62,"1","op","Rop","R","op","NB"
"26","20190817","1","TBT_V_BA","1-RED",1491.44,"6","op","Rop","R","op","NB"
"27","20190817","1","TBT_V_BA","1-RED",1576.14,"2","op","Rop","R","op","NB"
"28","20190817","1","PMT_V_NB","1-RED",1590.955,"3","op","Rop","R","op","NB"
"29","20190817","1","MOG_V_BA","1-RED",1599.978,"4","op","Rop","R","op","NB"
"30","20190817","1","MOG_V_BA","1-RED",1630.362,"5","op","Rop","R","op","NB"
"31","20190817","1","TBT_V_BA","1-RED",1649.675,"5","op","Rop","R","op","NB"
"32","20190817","1","TBT_V_BA","1-RED",1704.462,"3","op","Rop","R","op","NB"
"33","20190817","1","TBT_V_BA","1-BLUE",1786.695,"4","op","Bop","B","op","NB"
"34","20190817","1","TBT_V_BA","1-RED",1786.695,"4","op","Rop","R","op","NB"
"35","20190817","1","MOG_V_BA","1-RED",1791.406,"4","op","Rop","R","op","NB"
"36","20190817","1","TBT_V_BA","1-RED",1822.45,"1","op","Rop","R","op","NB"
"37","20190817","1","PMT_V_NB","1-RED",1834.512,"3","op","Rop","R","op","NB"
"38","20190817","1","MOG_V_BA","1-RED",1847.234,"4","op","Rop","R","op","NB"
"39","20190817","1","MOG_V_BA","1-RED",1881.987,"4","op","Rop","R","op","NB"
"40","20190817","1","MTM_V_BA","1-RED",1901.829,"3","op","Rop","R","op","NB"
"41","20190817","1","BNG_V_BA","1-RED",1905.345,"3","op","Rop","R","op","NB"
"42","20190817","1","TBT_V_BA","1-RED",1913.413,"2","op","Rop","R","op","NB"
