"","X11","BNV_H_CG","TNG_H_CG","VGV_H_CG","PBG_H_CG","VTG_H_CG","VPNT_H_CG","VPV_H_CG","VPG_H_CG","VT_H_CG","VNP_H_CG","VPN_H_CG","VNB_H_CG","VPO_H_CG","VOG_H_CG","X42","PBP_H_CG","VNG_H_CG","VPB_H_CG","X35","OPV_V_BA","BMN_V_BA","OBT_V_BA","BGN_V_BA","BV_V_BA","VTO_H_CG","MGV_V_BA","OVN_V_BA","PVT_H_CG","TGO_H_CG","TOG_H_CG","VR_H_CG","TNT_H_CG","TG_H_CG","VP_H_CG","X78","PNG_H_CG","VM_H_CG","TPV1_H_CG","TGN_H_CG","PT_H_CG","NOP_H_CG","PNV_H_CG","VG_H_CG","TV_H_CG","PTP_H_CG","PNP_H_CG","BGO_V_BA","TNP_H_CG","PMG_H_CG","PNO_H_CG","BNV_V_BA","VNV_H_CG","BOB_V_BA","PTV_H_CG","TPT_H_CG","MNG_V_BA","PMT_H_CG","BBV_V_BA","TNV_H_CG","VBP_H_CG","PBN_H_CG","PVB_H_CG","MOT_V_BA","MVB_V_BA","TVT_H_CG","TVP_V_BA","BPG_V_BA","PVN_H_CG","NGN_V_MA","VPT_H_CG"
"X11",0.5,0,0.123483472,0.00316721,0,0,0.024035365,NA,0,0,0,0,NA,0,NA,0,NA,NA,0,0,0.241840312,0,NA,NA,0,0.065874422,0,0.083201851,0.029617503,0,0,0.242021336,NA,0,0,0,0.048680298,0,NA,NA,NA,0,0.039174628,0,0,NA,0,0.11481911,0,0,0,NA,0,NA,0,0.001112313,NA,0,NA,0,0.04701889,0,0,NA,NA,NA,NA,NA,NA,0,0
"BNV_H_CG",0,0.5,0.069334065,0,0,0,0.002595344,NA,0.257346655,0,0.042668611,0.005923093,NA,0,NA,0,NA,NA,0,0,0.239602022,0,NA,NA,0,0,0,0,0.032047967,0,0,0.237299893,NA,0,0.00333526,0,0,0.00559415,NA,NA,NA,0,0.031245848,0,0,NA,0,0,0.002842753,0,0.104871364,NA,0,NA,0,0,NA,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0
"TNG_H_CG",0.123483472,0.069334065,0.5,0,0,0,0.007166028,NA,0.065579646,0,0,0,NA,0,NA,0,NA,NA,0,0,0.082229169,0,NA,NA,0,0.022404438,0,0.03215241,0.104867019,0,0,0.05655838,NA,0,0,0,0.019461899,0,NA,NA,NA,0,0.11920806,0,0,NA,0,0.016081238,0.005340865,0.006948222,0.027528517,NA,0,NA,0,0,NA,0,NA,0,0.030825685,0,0,NA,NA,NA,NA,NA,NA,0,0
"VGV_H_CG",0.00316721,0,0,0.5,0.01371227,0,0,NA,0,0,0.002750018,0,NA,0,NA,0.002006025,NA,NA,0.006102218,0,0,0,NA,NA,0.001278432,0,0,0,0,0,0,0,NA,0,0,0.029349424,0,0,NA,NA,NA,0.009217381,0,0,0,NA,0,0.025623026,0,0,0,NA,0.023732909,NA,0.06359592,0.00290882,NA,0.003298785,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0.002105404,0
"PBG_H_CG",0,0,0,0.01371227,0.5,0.003262328,0,NA,0,0.00339582,0,0.008653224,NA,0,NA,0.007348368,NA,NA,0.003763619,0,0,0.004302048,NA,NA,0,0,0,0,0,0,0,0,NA,0,0.003138514,0,0,0,NA,NA,NA,0.007931341,0,0,0,NA,0.005858078,0,0.003966375,0,0.004142638,NA,0,NA,0.005114443,0.025964778,NA,0.012815772,NA,0.002616736,0,0,0,NA,NA,NA,NA,NA,NA,0,0
"VTG_H_CG",0,0,0,0,0.003262328,0.5,0,NA,0,0,0.003711987,0,NA,0,NA,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0.15990239,0.003059417,0,NA,0.002241855,0,0,0,0,NA,NA,NA,0.001671301,0,0.007285847,0,NA,0.005149796,0,0,0,0,NA,0,NA,0,0,NA,0,NA,0,0,0.006604952,0.261564947,NA,NA,NA,NA,NA,NA,0,0
"VPNT_H_CG",0.024035365,0.002595344,0.007166028,0,0,0,0.5,NA,0,0.032319358,0,0,NA,0,NA,0.001589908,NA,NA,0.0044802,0,0.017241959,0,NA,NA,0,0.0673056,0,0.010405463,0.003750964,0,0,0.024656956,NA,0,0.006379063,0.003662345,0.107310162,0,NA,NA,NA,0.001716795,0.036680594,0.011536824,0,NA,0,0.00371544,0,0.005513736,0,NA,0,NA,0,0.003378829,NA,0,NA,0,0.042392286,0,0.004421768,NA,NA,NA,NA,NA,NA,0,0.002809647
"VPV_H_CG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VPG_H_CG",0,0.257346655,0.065579646,0,0,0,0,NA,0.5,0.002081024,0.020709194,0,NA,0,NA,0,NA,NA,0,0,0.112520753,0,NA,NA,0,0,0,0,0.051901882,0,0,0.116066915,NA,0.005265414,0.006805355,0,0,0.001509546,NA,NA,NA,0,0.049014214,0,0,NA,0,0,0,0,0.236852584,NA,0,NA,0.003412518,0,NA,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0
"VT_H_CG",0,0,0,0,0.00339582,0,0.032319358,NA,0.002081024,0.5,0.003020199,0,NA,0,NA,0.005459325,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,0,0,0.021543005,0.072989554,0,NA,NA,NA,0,0,0.009006119,0,NA,0,0,0,0.00348469,0,NA,0.010705674,NA,0.006887695,0,NA,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0.002887696
"VNP_H_CG",0,0.042668611,0,0.002750018,0,0.003711987,0,NA,0.020709194,0.003020199,0.5,0.009533337,NA,0.006186824,NA,0,NA,NA,0.002710711,0,0.007437921,0.001448436,NA,NA,0,0,0,0,0,0,0,0.017484715,NA,0,0.003612612,0,0,0,NA,NA,NA,0,0,0.017594259,0,NA,0.004141036,0,0,0,0.012489232,NA,0.005592521,NA,0.011504392,0,NA,0.003866204,NA,0.001237092,0,0.004121781,0,NA,NA,NA,NA,NA,NA,0,0
"VPN_H_CG",0,0.005923093,0,0,0.008653224,0,0,NA,0,0,0.009533337,0.5,NA,0.007836105,NA,0,NA,NA,0,0,0,0.001247204,NA,NA,0,0,0,0,0.035307508,0,0.004132381,0,NA,0.007674913,0.001782139,0,0,0,NA,NA,NA,0,0,0,0,NA,0,0,0.002545236,0.001990406,0,NA,0,NA,0.007656597,0,NA,0.004432476,NA,0.001715951,0,0,0,NA,NA,NA,NA,NA,NA,0,0
