"","date","session","subject","colour","rel_time","nbr_ind","drops","behav","behav1","behav2","group","choose_red","choose_blue","open","subject_index","n_obs_blue","n_obs_red","obs_index","ID_all_index","forg_bout","sex_index","age_index","s_male_red","s_male_blue","s_adult_red","s_adult_blue","rank_index","roost","s_roost_red","s_roost_blue"
"1",20190814,1,"MVT_V_BA","1-BLUE",2065.713,0,"op","Bop","B","op","BA",0,1,1,52,0,0,1,50,0,"1","3",0,0,0,0,2,1,0,0
"2",20190814,1,"MVT_V_BA","1-BLUE",2084.038,0,"op","Bop","B","op","BA",0,1,1,52,0,0,2,50,0,"1","3",0,0,0,0,2,1,0,0
"3",20190814,1,"MVT_V_BA","1-RED",2125.42,1,"op","Rop","R","op","BA",1,0,1,52,0,0,3,50,0,"1","3",0,0,0,0,2,1,0,0
"4",20190814,1,"MVT_V_BA","1-RED",2170.589,1,"op","Rop","R","op","BA",1,0,1,52,0,0,4,50,0,"1","3",0,0,0,0,2,1,0,0
"5",20190814,1,"MVT_V_BA","1-RED",2218.584,1,"op","Rop","R","op","BA",1,0,1,52,0,0,5,50,0,"1","3",0,0,0,0,2,1,0,0
"6",20190814,1,"MVT_V_BA","1-RED",2266.724,0,"op","Rop","R","op","BA",1,0,1,52,0,0,6,50,0,"1","3",0,0,0,0,2,1,0,0
"7",20190814,1,"MVT_V_BA","1-RED",2324.836,1,"op","Rop","R","op","BA",1,0,1,52,0,0,7,50,0,"1","3",0,0,0,0,2,1,0,0
"8",20190814,1,"MVT_V_BA","1-BLUE",2355.696,1,"op","Bop","B","op","BA",0,1,1,52,0,0,8,50,0,"1","3",0,0,0,0,2,1,0,0
"9",20190814,1,"MVT_V_BA","1-BLUE",2452.735,1,"op","Bop","B","op","BA",0,1,1,52,0,0,9,50,0,"1","3",0,0,0,0,2,1,0,0
"10",20190814,1,"BVP_V_BA","1-RED",2487.867,0,"op","Rop","R","op","BA",1,0,1,35,0,0,10,33,0,"0","0",0,0,0,0,11,1,0,0
"11",20190814,1,"BVP_V_BA","1-RED",2682.425,0,"op","Rop","R","op","BA",1,0,1,35,0,0,11,33,0,"0","0",0,0,0,0,11,1,0,0
"12",20190814,1,"BVP_V_BA","1-RED",4141.098,1,"op","Rop","R","op","BA",1,0,1,35,0,0,12,33,0,"0","0",0,0,0,0,11,1,0,0
"13",20190814,1,"BPO_V_BA","1-RED",4148.41,2,"op","Rop","R","op","BA",1,0,1,24,0,0,13,22,0,"0","0",0,0,0,0,5,1,0,0
"14",20190814,1,"BPO_V_BA","1-BLUE",4174.274,2,"op","Bop","B","op","BA",0,1,1,24,0,0,14,22,0,"0","0",0,0,0,0,5,1,0,0
"15",20190814,1,"BPO_V_BA","1-RED",4210.223,4,"op","Rop","R","op","BA",1,0,1,24,0,0,15,22,0,"0","0",0,0,0,0,5,1,0,0
"16",20190814,1,"BTP_V_BA","1-RED",4213.166,4,"op","Rop","R","op","BA",1,0,1,29,0,0,16,27,0,"0","0",0,0,0,0,NA,NA,0,0
"17",20190814,1,"BPO_V_BA","1-RED",4234.245,3,"op","Rop","R","op","BA",1,0,1,24,0,0,17,22,0,"0","0",0,0,0,0,5,1,0,0
"18",20190814,1,"BPO_V_BA","1-RED",4250.102,5,"op","Rop","R","op","BA",1,0,1,24,0,0,18,22,0,"0","0",0,0,0,0,5,1,0,0
"19",20190814,1,"BPO_V_BA","1-RED",4284.571,4,"op","Rop","R","op","BA",1,0,1,24,0,0,19,22,0,"0","0",0,0,0,0,5,1,0,0
"20",20190814,1,"BPO_V_BA","1-RED",4306.219,3,"op","Rop","R","op","BA",1,0,1,24,0,0,20,22,0,"0","0",0,0,0,0,5,1,0,0
"21",20190814,1,"BPO_V_BA","1-RED",4330.337,5,"op","Rop","R","op","BA",1,0,1,24,0,0,21,22,0,"0","0",0,0,0,0,5,1,0,0
"22",20190814,1,"BPO_V_BA","1-RED",4351.891,4,"op","Rop","R","op","BA",1,0,1,24,0,0,22,22,0,"0","0",0,0,0,0,5,1,0,0
"23",20190814,1,"BTP_V_BA","1-RED",4357.493,5,"op","Rop","R","op","BA",1,0,1,29,0,0,23,27,0,"0","0",0,0,0,0,NA,NA,0,0
"24",20190814,1,"BPO_V_BA","1-RED",4380.944,4,"op","Rop","R","op","BA",1,0,1,24,0,0,24,22,0,"0","0",0,0,0,0,5,1,0,0
"25",20190814,1,"BPO_V_BA","1-RED",4412.659,5,"op","Rop","R","op","BA",1,0,1,24,0,0,25,22,0,"0","0",0,0,0,0,5,1,0,0
"26",20190814,1,"BPO_V_BA","1-RED",4435.922,4,"op","Rop","R","op","BA",1,0,1,24,0,0,26,22,0,"0","0",0,0,0,0,5,1,0,0
"27",20190814,1,"BON_V_BA","1-RED",4448.171,5,"op","Rop","R","op","BA",1,0,1,20,0,0,27,18,0,"0","3",0,0,0,0,42,1,0,0
"28",20190814,1,"BPO_V_BA","1-RED",4488.622,5,"op","Rop","R","op","BA",1,0,1,24,0,0,28,22,0,"0","0",0,0,0,0,5,1,0,0
"29",20190814,1,"BVP_V_BA","1-RED",4507.897,5,"op","Rop","R","op","BA",1,0,1,35,0,0,29,33,0,"0","0",0,0,0,0,11,1,0,0
"30",20190814,1,"BTP_V_BA","1-RED",4512.17,5,"op","Rop","R","op","BA",1,0,1,29,0,0,30,27,0,"0","0",0,0,0,0,NA,NA,0,0
"31",20190814,1,"BPO_V_BA","1-RED",4548.539,3,"op","Rop","R","op","BA",1,0,1,24,0,0,31,22,0,"0","0",0,0,0,0,5,1,0,0
"32",20190814,1,"MVG_V_BA","1-RED",4550.817,3,"op","Rop","R","op","BA",1,0,1,50,0,0,32,48,0,"1","3",0,0,0,0,12,1,0,0
"33",20190814,1,"BPO_V_BA","1-RED",4586.041,2,"op","Rop","R","op","BA",1,0,1,24,0,0,33,22,0,"0","0",0,0,0,0,5,1,0,0
"34",20190814,1,"BPO_V_BA","1-RED",4605.886,2,"op","Rop","R","op","BA",1,0,1,24,0,0,34,22,0,"0","0",0,0,0,0,5,1,0,0
"35",20190814,1,"ONP_V_BA","1-RED",4631.236,1,"op","Rop","R","op","BA",1,0,1,68,0,0,35,66,0,"1","3",0,0,0,0,NA,1,0,0
"36",20190814,1,"BPO_V_BA","1-BLUE",4659.168,2,"op","Bop","B","op","BA",0,1,1,24,0,0,36,22,0,"0","0",0,0,0,0,5,1,0,0
"37",20190815,1,"BPO_V_BA","1-RED",37.38,0,"op","Rop","R","op","BA",1,0,1,24,0,0,37,22,0,"0","0",0,0,0,0,5,1,0,0
"38",20190815,1,"MVT_V_BA","1-BLUE",45.558,0,"op","Bop","B","op","BA",0,1,1,52,0,0,38,50,0,"1","3",0,0,0,0,2,1,0,0
"39",20190815,1,"MVT_V_BA","1-RED",68.753,0,"op","Rop","R","op","BA",1,0,1,52,0,0,39,50,0,"1","3",0,0,0,0,2,1,0,0
"40",20190815,1,"MVT_V_BA","1-BLUE",101.003,0,"op","Bop","B","op","BA",0,1,1,52,0,0,40,50,0,"1","3",0,0,0,0,2,1,0,0
"41",20190815,1,"MVT_V_BA","1-BLUE",119.919,0,"op","Bop","B","op","BA",0,1,1,52,0,0,41,50,0,"1","3",0,0,0,0,2,1,0,0
"42",20190815,1,"MVT_V_BA","1-BLUE",137.228,0,"op","Bop","B","op","BA",0,1,1,52,0,0,42,50,0,"1","3",0,0,0,0,2,1,0,0
"43",20190815,1,"MVT_V_BA","1-BLUE",186.528,2,"op","Bop","B","op","BA",0,1,1,52,0,0,43,50,0,"1","3",0,0,0,0,2,1,0,0
"44",20190815,1,"MVT_V_BA","1-RED",238.175,1,"op","Rop","R","op","BA",1,0,1,52,0,0,44,50,0,"1","3",0,0,0,0,2,1,0,0
"45",20190815,1,"MVT_V_BA","1-BLUE",273.828,1,"op","Bop","B","op","BA",0,1,1,52,0,0,45,50,0,"1","3",0,0,0,0,2,1,0,0
"46",20190815,1,"BPO_V_BA","1-RED",323.768,2,"op","Rop","R","op","BA",1,0,1,24,0,0,46,22,0,"0","0",0,0,0,0,5,1,0,0
"47",20190815,1,"NGO_V_MA","1-RED",383.443,0,"op","Rop","R","op","BA",1,0,1,54,0,0,47,52,0,"1","3",0,0,0,0,67,1,0,0
"48",20190815,1,"MVT_V_BA","1-RED",395.765,2,"op","Rop","R","op","BA",1,0,1,52,0,0,48,50,0,"1","3",0,0,0,0,2,1,0,0
"49",20190815,1,"MTP_V_BA","1-RED",410.825,2,"op","Rop","R","op","BA",1,0,1,47,0,0,49,45,0,"0","0",0,0,0,0,38,3,0,0
"50",20190815,1,"MVT_V_BA","1-RED",420.892,1,"op","Rop","R","op","BA",1,0,1,52,0,0,50,50,0,"1","3",0,0,0,0,2,1,0,0
"51",20190815,1,"MVT_V_BA","1-BLUE",470.993,4,"op","Bop","B","op","BA",0,1,1,52,0,0,51,50,0,"1","3",0,0,0,0,2,1,0,0
"52",20190815,1,"MVT_V_BA","1-RED",498.618,3,"op","Rop","R","op","BA",1,0,1,52,0,0,52,50,0,"1","3",0,0,0,0,2,1,0,0
"53",20190815,1,"NGO_V_MA","1-RED",507.126,3,"op","Rop","R","op","BA",1,0,1,54,0,0,53,52,0,"1","3",0,0,0,0,67,1,0,0
"54",20190815,1,"MTP_V_BA","1-RED",517.502,3,"op","Rop","R","op","BA",1,0,1,47,0,0,54,45,0,"0","0",0,0,0,0,38,3,0,0
"55",20190815,1,"OPV_V_BA","1-RED",519.776,3,"op","Rop","R","op","BA",1,0,1,74,0,0,55,72,0,"0","3",0,0,0,0,NA,2,0,0
"56",20190815,1,"BON_V_BA","1-RED",530.232,2,"op","Rop","R","op","BA",1,0,1,20,0,0,56,18,0,"0","3",0,0,0,0,42,1,0,0
"57",20190815,1,"MVT_V_BA","1-BLUE",565.438,4,"op","Bop","B","op","BA",0,1,1,52,0,0,57,50,0,"1","3",0,0,0,0,2,1,0,0
"58",20190815,1,"BON_V_BA","1-RED",587.064,3,"op","Rop","R","op","BA",1,0,1,20,0,0,58,18,0,"0","3",0,0,0,0,42,1,0,0
"59",20190815,1,"BPO_V_BA","1-RED",596.614,2,"op","Rop","R","op","BA",1,0,1,24,0,0,59,22,0,"0","0",0,0,0,0,5,1,0,0
"60",20190815,1,"MVT_V_BA","1-BLUE",668.839,4,"op","Bop","B","op","BA",0,1,1,52,0,0,60,50,0,"1","3",0,0,0,0,2,1,0,0
"61",20190815,1,"BOM_V_BA","1-RED",673.729,4,"op","Rop","R","op","BA",1,0,1,19,0,0,61,17,0,"0","0",0,0,0,0,20,1,0,0
"62",20190815,1,"PTP_V_NB","1-RED",678.912,1,"op","Rop","R","op","BA",1,0,1,80,0,0,62,78,0,"1","3",0,0,0,0,NA,3,0,0
"63",20190815,1,"BPO_V_BA","1-BLUE",696.91,3,"op","Bop","B","op","BA",0,1,1,24,0,0,63,22,0,"0","0",0,0,0,0,5,1,0,0
"64",20190815,1,"BPO_V_BA","1-BLUE",717.638,2,"op","Bop","B","op","BA",0,1,1,24,0,0,64,22,0,"0","0",0,0,0,0,5,1,0,0
"65",20190815,1,"BPO_V_BA","1-BLUE",732.938,2,"op","Bop","B","op","BA",0,1,1,24,0,0,65,22,0,"0","0",0,0,0,0,5,1,0,0
