"","ID","AGE","SEX","RANK"
"1","MVT_V_BA","A","M",2
"2","BVP_V_BA",NA,NA,11
"3","BPO_V_BA",NA,NA,5
"4","BTP_V_BA",NA,NA,NA
"5","BON_V_BA","A","F",42
"6","MVG_V_BA","A","M",12
"7","ONP_V_BA","A","M",NA
"8","NGO_V_MA","A","M",67
"9","MTP_V_BA",NA,NA,38
"10","OPV_V_BA","A","F",NA
"11","BOM_V_BA",NA,NA,20
"12","PTP_V_NB","A","M",NA
"13","OMN_V_BA","J","M",35
"14","BGP_V_BA","J","M",19
"15","TMG_V_BA",NA,"M",NA
"16","BPG_V_BA",NA,NA,25
"17","BNO_V_BA",NA,NA,NA
"18","OVN_V_BA","A","F",NA
"19","ONT_V_BA",NA,NA,NA
"20","118","A","M",NA
"21","BVB_V_BA","A","F",26
"22","BMN_V_BA",NA,"M",6
"23","TOP_V_BA","J","M",NA
"24","OP_V_BA","J","M",NA
"25","OVM_V_BA","A","M",NA
"26","TMP_V_BA",NA,"M",NA
"27","BTV_V_BA","J","F",71
"28","BPB_V_BA",NA,NA,NA
"29","BPT_V_BA","A","F",81
"30","PVT_H_CG","J","F",NA
"31","NOT_V_MA","J","F",NA
"32","OGM_V_BA","J","M",40
"33","MGO_V_BA",NA,NA,34
"34","OMN_VBA",NA,NA,NA
"35","BT_V_BA","A","M",3
"36","OPB_V_BA","A","M",NA
"37","BGO_V_BA","J","F",72
"38","NGP_V_MA","J","M",56
"39","N_V_BA","J","F",75
"40","BGV_V_BA","J","M",50
"41","OGV_V_BA","J",NA,55
"42","MGV_V_BA","J","F",89
"43","TPN_V_BA","J","M",NA
"44","MTV_V_BA",NA,"M",NA
"45","OVP_V_BA","J","M",NA
"46","OMG_V_BA","J","F",NA
"47","TMB_V_BA","A","F",NA
"48","BOG_V_BA",NA,NA,57
"49","TNO_V_BA",NA,NA,NA
"50","ONV_V_BA","J","M",NA
"51","ONO_V_BA",NA,NA,NA
"52","TNP_V_BA",NA,NA,NA
"53","TO_H_CG","J",NA,NA
"54","TPV_V_BA",NA,NA,NA
"55","OMB_V_BA","J","M",73
"56","OPG_V_BA","A","F",NA
"57","OT_V_BA","A","M",NA
"58","TGT_V_BA",NA,NA,NA
"59","BNV_V_BA","A","M",61
"60","BVM_V_BA","A","M",9
"61","MVB_V_BA",NA,NA,80
"62","B_V_BA",NA,NA,NA
"63","BTB_V_BA","J","F",92
"64","136","J","M",NA
"65","MOT_V_BA",NA,NA,NA
"66","OMOG_V_BA","A","F",82
"67","MTM_V_BA","J","M",30
"68","VPG_V_BA","A","M",NA
"69","MPG_V_BA","A","F",87
"70","BG_V_BA","A","M",36
"71","TVG_V_BA",NA,NA,NA
"72","VPT_V_BA","J","F",NA
"73","TNB_V_BA","J",NA,NA
"74","MVP_V_BA","J",NA,NA
"75","TBG_V_BA",NA,NA,NA
"76","MTB_V_BA",NA,"F",83
"77","BV_V_BA","A","M",44
"78","Msmu_BA",NA,NA,NA
"80","OMP_V_BA","J","F",NA
"81","TVP_V_BA",NA,NA,NA
"82","BVN_V_BA","A","F",53
"83","MGM_V_BA","J","M",65
"84","TNP_H_CG",NA,"M",NA
"85","MNP_V_BA",NA,NA,79
"86","TPM_V_BA",NA,NA,NA
"87","BMP_V_BA","J","F",85
"88","NTM_V_MA",NA,NA,NA
"89","BMV_V_BA",NA,"M",14
"90","NOB_V_MA",NA,NA,NA
"91","BGVN_V_BA","J",NA,48
"92","BBV_V_BA",NA,NA,13
"93","PVN_V_NB","A","F",NA
"94","MPV_V_BA",NA,NA,27
"95","BOB_V_BA",NA,NA,28
"96","TNV_H_CG","J","F",NA
"97","VR_H_CG","J","M",NA
"98","TV_H_CG",NA,"F",NA
"99","MPN_V_BA","J","M",63
"100","TVP_H_CG","A","F",NA
"101","BP_V_BA",NA,NA,46
"102","VBV_V_BA",NA,NA,NA
"103","BGM_V_BA",NA,NA,54
"104","BPV_V_BA",NA,NA,NA
"105","BMG_V_BA",NA,"M",22
"106","VBV_H_CG","A","F",NA
"107","TPV_H_CG",NA,"M",NA
"108","PTV_H_CG","A","M",NA
"109","OTBb_V_BA",NA,NA,NA
