"","ID","AGE","SEX","RANK"
"1","11","A","M",2
"2","BNV_H_CG","A","F",97
"3","TNG_H_CG","A","M",29
"4","VGV_H_CG","A","M",31
"5","PBG_H_CG","A","M",4
"7","VTG_H_CG","A","M",40
"8","VPNT_H_CG","A","F",57
"9","VPV_H_CG",NA,NA,20
"10","VPG_H_CG","A","F",82
"11","VT_H_CG","A","F",NA
"12","VNP_H_CG","A","F",109
"13","VPN_H_CG","A","M",12
"14","VNB_H_CG",NA,NA,51
"15","VPO_H_CG","A","M",10
"16","VOG_H_CG","A","M",13
"17","42","A","M",1
"18","PBP_H_CG",NA,NA,100
"19","VNG_H_CG","A","F",27
"20","VPB_H_CG","A","F",46
"21","35","A","M",6
"22","OPV_V_BA","A","F",106
"23","BMN_V_BA",NA,"M",NA
"24","OBT_V_BA","J",NA,81
"25","BGN_V_BA","J",NA,65
"26","BV_V_BA","A","M",78
"27","VTO_H_CG","A","M",3
"28","MGV_V_BA","J","F",NA
"29","OVN_V_BA","A","F",NA
"30","PVT_H_CG","J","F",94
"31","TGO_H_CG","J","M",24
"32","TOG_H_CG","A","M",23
"33","VR_H_CG","J","M",41
"34","TNT_H_CG",NA,NA,17
"35","TG_H_CG","A","M",35
"36","VP_H_CG",NA,NA,67
"37","78","A","M",14
"38","PNG_H_CG","A","M",7
"39","VM_H_CG","A","F",107
"40","TPV1_H_CG",NA,NA,NA
"41","TGN_H_CG",NA,NA,22
"42","PT_H_CG","F","A",103
"43","NOP_H_CG","J","M",60
"44","PNV_H_CG","A","M",9
"45","VG_H_CG","J","M",70
"46","TV_H_CG",NA,"F",92
"47","PTP_H_CG","A","F",93
"48","PNP_H_CG","J","F",74
"49","BGO_V_BA","J","F",105
"50","TNP_H_CG",NA,"M",28
"51","PMG_H_CG","J","F",83
"52","PNO_H_CG","J","M",91
"53","BNV_V_BA","A","M",58
"54","VNV_H_CG","J","F",18
"55","BOB_V_BA",NA,NA,63
"56","PTV_H_CG","A","M",54
"57","TPT_H_CG","J","F",87
"58","MNG_V_BA",NA,NA,42
"59","PMT_H_CG",NA,NA,79
"60","BBV_V_BA",NA,NA,19
"61","TNV_H_CG","J","F",59
"62","VBP_H_CG",NA,NA,11
"63","PBN_H_CG","A","F",68
"64","PVB_H_CG","J","M",21
"65","MOT_V_BA",NA,NA,NA
"66","MVB_V_BA",NA,NA,NA
"67","TVT_H_CG",NA,NA,NA
"68","TVP_V_BA",NA,NA,NA
"69","BPG_V_BA",NA,NA,NA
"70","PVN_H_CG",NA,NA,NA
"71","NGN_V_MA",NA,NA,NA
"72","VPT_H_CG",NA,NA,38
