"","ID","AGE","SEX","RANK"
"1","OMP_V_BA","J","F",NA
"2","Msmu_V_BA",NA,NA,NA
"3","PTB1_V_NB",NA,NA,NA
"4","OGB_V_BA",NA,NA,NA
"5","TBT_V_BA",NA,NA,12
"6","GB_V_NB",NA,NA,NA
"7","PMT_V_NB","A","M",8
"8","MOG_V_BA","A","M",3
"9","MTM_V_BA","J","M",NA
"10","BNG_V_BA","J","F",42
"11","PMV_V_NB","A","M",36
"12","GN_V_NB","A","M",6
"13","PO_V_NB",NA,NA,54
"14","BGB_V_BA","A","M",37
"15","MBT_V_BA",NA,NA,NA
"16","BG_V_BA","A","M",35
"17","OTP_V_BA","A","F",49
"18","PON_V_NB","A","M",15
"19","TVN_V_BA","J",NA,91
"20","PVN_V_NB","A","F",23
"21","GMG_V_NB",NA,NA,NA
"22","Ncrest_NB",NA,NA,24
"23","GPO_V_NB","A","F",66
"24","GNT_V_NB","A","M",11
"25","GMP_V_NB","J","F",NA
"26","GV_V_NB","J","M",27
"27","NOB_V_MA",NA,NA,68
"28","POB_V_NB","A","M",4
"29","TOP_V_BA","J","M",67
"30","PTP_V_NB","A","M",20
"31","BOB_V_BA",NA,NA,NA
"32","ONG_V_BA","J","M",14
"33","TMP_V_BA",NA,"M",33
"34","BTV_V_BA","J","F",NA
"35","GT_V_NB","A",NA,22
"36","BTG_V_BA","J","M",46
"37","TNG_V_BA",NA,NA,NA
"38","OMN_V_BA","J","M",55
"39","115","A","M",10
"40","OMG_V_BA","J","F",57
"41","POG_V_NB","A","M",2
"43","BOG_V_BA",NA,NA,NA
"44","PGO_V_NB","J",NA,18
"45","PN_V_NB","A","F",78
"46","GNP_V_NB",NA,NA,NA
"47","TB_V_BA","A","F",NA
"48","MTP_V_BA",NA,NA,NA
"49","GM_V_NB","A","F",32
"50","PVT_V_NB",NA,NA,NA
"51","PVT_H_CG","J","F",NA
"52","PTV_H_CG","A","M",NA
"53","OPG_V_BA","A","F",13
"54","GTG_V_NB","A","F",52
"55","BMP_V_BA","J","F",58
"56","TNP_V_BA",NA,NA,NA
"57","VPO_V_NB","A","M",39
"58","NOT_V_MA","J","F",87
"59","PTG_V_NB",NA,NA,NA
"60","BGVN_V_BA","J",NA,NA
"61","OMT_V_BA","A","F",NA
"62","GBN_V_NB",NA,NA,77
"63","GNV_V_NB","J",NA,62
"64","PVG_V_NB",NA,NA,NA
"65","PTN_V_NB",NA,NA,47
"66","PVO_V_NB",NA,NA,25
"67","OB_V_BA",NA,NA,29
"68","MGM_V_BA","J","M",40
"69","OVG_V_BA","A","F",63
"70","GP_V_NB",NA,NA,50
"71","VPT_V_BA","J","F",80
"72","TPT_V_BA",NA,NA,43
"73","GBO_V_NB",NA,NA,5
"74","PT_V_NB",NA,NA,61
