"","ID","sex","age","rank_ba","rank_cg","rank_nb","roost"
"1","X11","M","A",NA,2,NA,1
"2","BNV_H_CG","F","A",NA,85,NA,1
"3","TNG_V_CG",NA,NA,NA,NA,NA,NA
"4","VGV_H_CG","M","A",NA,29,NA,1
"5","PBG_H_CG","M","A",NA,4,NA,1
"6","unknown",NA,NA,NA,NA,NA,NA
"7","VTG_H_CG","M",NA,NA,39,NA,1
"8","VPNT_H_CG","F","A",NA,45,NA,1
"9","VPV_H_CG","M","A",NA,19,NA,1
"10","VPG_H_CG","F","A",NA,77,NA,1
"11","VT_H_CG","M","A",NA,NA,NA,1
"12","VNP_H_CG","F","A",NA,93,NA,1
"13","VPN_H_CG","M","A",NA,10,NA,1
"14","VNB_H_CG",NA,"J",NA,40,NA,1
"15","VPO_H_CG","M","A",NA,7,NA,1
"16","VOG_H_CG",NA,"J",NA,11,NA,1
"17","X42","M","A",NA,1,NA,1
"18","PBP_V_CG","F","A",NA,NA,NA,NA
"19","VNG_V_CG",NA,NA,NA,NA,NA,NA
"20","unmarked1",NA,NA,NA,NA,NA,NA
"21","MVT_V_BA","M","A",5,NA,NA,2
"22","BVP_V_BA","M","A",19,NA,NA,2
"23","BPO_V_BA","M","A",4,NA,NA,2
"24","BTP_V_BA",NA,NA,NA,NA,NA,NA
"25","BON_V_BA","F","A",37,NA,NA,2
"26","MVG_V_BA","M","A",18,NA,NA,2
"27","ONP_V_BA","M","A",11,NA,NA,2
"28","VPB_H_CG","F","A",NA,35,NA,1
"29","X35","M","A",NA,5,NA,1
"30","OPV_V_BA","F","A",95,91,NA,1
"31","NGO_V_MA","M","A",96,NA,64,NA
"32","MTP_V_BA",NA,NA,54,NA,NA,3
"33","BOM_V_BA","M","A",NA,NA,NA,2
"34","PTP_V_NB","M","A",41,NA,18,3
"35","OMN_V_BA",NA,NA,51,NA,NA,2
"36","BGP_V_BA","M","J",36,NA,NA,2
"37","TMG_V_BA","M",NA,108,NA,NA,3
"38","BPG_V_BA",NA,"J",32,NA,NA,2
"39","BNO_V_BA",NA,"J",NA,51,NA,2
"40","OVN_V_BA","F","A",112,NA,NA,2
"41","ONT_V_BA","F","A",NA,NA,NA,2
"42","unmarked",NA,NA,NA,NA,NA,NA
"43","X118","M","A",3,NA,NA,2
"44","BVB_V_BA","F","A",33,NA,NA,2
"45","BMN_V_BA","M",NA,24,NA,NA,2
"46","TOP_V_BA","M","J",103,NA,NA,2
"47","OP_V_BA",NA,"J",53,NA,NA,2
"48","OVM_V_BA","M","A",79,NA,NA,2
"49","OBT_V_BA",NA,NA,NA,66,NA,1
"50","BGN_V_BA",NA,NA,NA,55,NA,1
"51","BV_V_BA","M","A",56,70,NA,1
"52","VTO_H_CG","M","A",NA,3,NA,1
"53","TNT_H_CG",NA,NA,NA,17,NA,1
"54","ONV_V_BA","M","J",77,NA,NA,2
"55","VPT_H_CG","M","J",NA,32,NA,1
"56","TGO_H_CG","M","J",NA,23,NA,1
"57","TOG_H_CG","M","A",NA,20,NA,1
"58","TMP_V_BA","M",NA,NA,NA,31,3
"59","PVT_H_CG","F","J",101,81,NA,1
"60","BPB_V_BA",NA,NA,NA,NA,NA,2
"61","BTV_V_BA",NA,"J",NA,NA,NA,2
"62","BPT_V_BA","F","A",115,NA,NA,2
"63","NOT_V_MA","F","J",NA,NA,62,NA
"64","OGM_V_BA","M","J",57,80,40,3
"65","MGO_V_BA",NA,"J",61,NA,NA,2
"66","BT_V_BA","M","A",2,NA,NA,2
"67","OPB_V_BA","M","A",NA,NA,37,3
"68","BTO_V_BA",NA,NA,NA,NA,NA,NA
"69","NGP_V_MA",NA,"J",NA,NA,NA,NA
"70","N_V_BA","F","J",97,NA,NA,2
"71","BGV_V_BA","M","J",63,NA,NA,2
"72","OGV_V_BA","F","A",86,NA,NA,2
"73","OMP_V_BA","F","J",NA,NA,NA,NA
"74","Msmu_BA",NA,NA,NA,NA,NA,NA
"75","PTB1_V_NB","M",NA,NA,NA,NA,NA
"76","OGB_V_BA",NA,"J",NA,NA,NA,2
"77","TBT_V_BA",NA,NA,20,NA,13,3
"78","GB_V_NB",NA,NA,NA,NA,NA,3
"79","PMT_V_NB","M","A",NA,NA,6,3
"80","MOG_V_BA","M","A",NA,NA,3,3
"81","MTM_V_BA","M","J",35,NA,NA,2
"82","BNG_V_BA","F","J",113,NA,NA,NA
"83","PMV_V_NB","M","A",NA,NA,38,NA
"84","GN_V_NB","M","A",NA,NA,5,3
"85","PO_V_NB",NA,"J",NA,NA,43,3
"86","BGB_V_BA",NA,NA,NA,NA,NA,3
"87","MBT_V_BA","M","A",64,NA,NA,2
"88","BG_V_BA","M","A",49,41,30,3
"89","OVP_V_BA","M","J",28,NA,NA,2
"90","TMB_V_BA","F","A",122,NA,NA,2
"91","OVG_V_BA","F","A",76,NA,49,2
"92","MGV_V_BA","F","J",116,NA,NA,2
"93","MPT_V_BA",NA,NA,NA,NA,NA,NA
"94","MTV_V_BA","M",NA,93,NA,NA,2
"95","NPG_V_MA","M",NA,NA,NA,NA,NA
"96","OTP_V_BA","M","A",NA,84,39,1
"97","PON_V_NB","M","A",NA,NA,16,NA
"98","TVN_V_BA",NA,"J",NA,NA,67,3
"99","PVN_V_NB",NA,NA,NA,NA,22,NA
"100","GMG_V_NB",NA,NA,NA,NA,NA,NA
"101","Ncrest_NB","M","A",NA,NA,25,NA
"102","GPO_V_NB","F","A",NA,NA,60,3
"103","GNT_V_NB","M","A",NA,NA,11,3
"104","GMP_V_NB","F","J",NA,NA,NA,3
"105","GV_V_NB","M","J",NA,NA,27,3
"106","X78","M","A",NA,12,NA,1
"107","PNG_H_CG","M","A",NA,6,NA,1
"108","VM_H_CG","F","A",118,89,NA,1
"109","TPV1_V_CG",NA,NA,NA,NA,NA,NA
"110","TGN_V_CG",NA,NA,NA,NA,NA,NA
"111","PT_H_CG","F","A",NA,92,NA,1
"112","NOP_H_CG","M","J",NA,53,NA,1
"113","PNV_H_CG","M","A",NA,8,NA,1
"114","VG_H_CG","M","J",NA,61,NA,1
"115","TV_H_CG","M","A",NA,79,NA,1
"116","PTP_V_CG",NA,NA,NA,NA,NA,NA
"117","NOB_V_MA","F","A",NA,NA,NA,NA
"118","POB_V_NB","M","A",NA,NA,4,3
"119","BOB_V_BA","","",48,49,NA,2
"120","GT_V_NB",NA,"J",NA,NA,21,3
"121","ONG_V_BA","M",NA,30,NA,12,3
"122","BTG_V_BA",NA,"J",NA,NA,47,3
"123","X115","M","A",NA,NA,7,3
"124","OMG_V_BA","F","J",NA,NA,42,2
"125","POG_V_NB","M","A",NA,NA,2,3
"126","BOG_V_BA",NA,"J",74,56,NA,1
"127","PGO_V_NB","F","A",NA,NA,15,3
"128","TNG_V_BA",NA,"J",NA,NA,NA,NA
"129","PNP_V_CG",NA,NA,NA,NA,NA,NA
"130","TG_H_CG","M","A",NA,31,NA,1
"131","VR_H_CG","M","J",NA,37,NA,1
"132","BGO_V_BA","F","A",72,87,NA,1
"133","TNP_V_CG",NA,NA,NA,NA,NA,NA
"134","PMG_H_CG","F","J",NA,74,NA,1
"135","unmarked2",NA,NA,NA,NA,NA,NA
"136","PNO_H_CG","M","J",NA,82,NA,1
"137","VP_V_CG",NA,NA,NA,NA,NA,NA
"138","TPN_V_BA","M","J",88,NA,NA,2
"139","TNO_V_BA","M",NA,NA,NA,NA,2
"140","ONO_V_BA","F","A",NA,NA,NA,2
"141","TNP_V_BA",NA,"J",NA,NA,NA,NA
"142","TO_H_CG","M","A",NA,NA,NA,2
"143","TPV_V_BA",NA,"J",NA,NA,NA,NA
"144","OMB_V_BA","M",NA,89,NA,NA,3
"145","OPG_V_BA","F","A",73,NA,17,3
"146","OT_V_BA",NA,NA,NA,NA,NA,2
"147","TGT_V_BA","M","A",16,NA,NA,2
"148","BNV_V_BA","M","A",68,47,NA,2
"149","GTG_V_NB","F","A",NA,NA,NA,3
"150","TPT_V_BA",NA,"J",NA,NA,36,3
"151","Ocheek_NB","F","A",NA,NA,NA,3
"152","PN_V_NB","F","A",NA,NA,61,3
"153","unknown ID, G on Lneck",NA,NA,NA,NA,NA,NA
"154","GNP_V_NB",NA,"J",NA,NA,NA,NA
"155","TB_V_BA","F","A",123,NA,NA,2
"156","GM_V_NB","F","A",NA,NA,28,3
"157","PVT_V_NB",NA,NA,NA,NA,NA,NA
"158","PTV_H_CG","M",NA,NA,NA,NA,1
"159","VNV_H_CG","F","J",NA,16,NA,1
"160","TPT_V_CG",NA,NA,NA,NA,NA,NA
"161","TVT_V_CG",NA,NA,NA,NA,NA,NA
"162","VGT_H_CG","F","A",NA,NA,NA,NA
"163","BVM_V_BA","M","A",17,NA,NA,2
"164","MVB_N_BA",NA,NA,NA,NA,NA,NA
"165","B_V_BA","M","A",7,NA,NA,2
"166","BTB_V_BA",NA,"J",125,NA,NA,2
"167","X136","M","J",47,NA,NA,2
