"","id","sex","age","rank_ba","rank_cg","rank_nb","roost","tutor_red","tutor_blue"
"1","MVT_V_BA","M","A",5,NA,NA,"2",0,1
"2","BVP_V_BA","M","A",19,NA,NA,"2",0,0
"3","BPO_V_BA","M","A",4,NA,NA,"2",0,1
"4","BGP_V_BA","M","J",36,NA,NA,"2",0,0
"5","BON_V_BA","F","A",37,NA,NA,"2",0,0
"6","MVG_V_BA","M","A",18,NA,NA,"2",0,0
"7","ONP_V_BA","M","A",11,NA,NA,"2",0,0
"8","NGO_V_MA","M","A",96,NA,64,"4",0,0
"9","MTP_V_BA",NA,NA,54,NA,NA,"3",0,0
"10","OPV_V_BA","F","A",95,91,NA,"1",0,0
"11","BOM_V_BA","M","A",NA,NA,NA,"2",0,0
"12","PTP_V_NB","M","A",41,NA,18,"3",0,0
"13","OMN_V_BA",NA,NA,51,NA,NA,"2",0,0
"14","TMG_V_BA","M",NA,108,NA,NA,"3",0,0
"15","BPG_V_BA",NA,"J",32,NA,NA,"2",0,0
"16","BNO_V_BA",NA,"J",NA,51,NA,"2",0,0
"17","OVN_V_BA","F","A",112,NA,NA,"2",0,0
"18","ONT_V_BA","F","A",NA,NA,NA,"2",0,0
"19","unmarked",NA,NA,NA,NA,NA,NA,0,0
"20","X118","M","A",3,NA,NA,"2",0,0
"21","BVB_V_BA","F","A",33,NA,NA,"2",0,0
"22","BMN_V_BA","M",NA,24,NA,NA,"2",0,0
"23","TOP_V_BA","M","J",103,NA,NA,"2",0,0
"24","OP_V_BA",NA,"J",53,NA,NA,"2",0,0
"25","OVM_V_BA","M","A",79,NA,NA,"2",0,0
"26","TMP_V_BA","M",NA,NA,NA,31,"3",0,0
"27","PVT_H_CG","F","J",101,81,NA,"1",0,0
"28","BPB_V_BA",NA,NA,NA,NA,NA,"2",0,0
"29","BTV_V_BA",NA,"J",NA,NA,NA,"2",0,0
"30","BPT_V_BA","F","A",115,NA,NA,"2",0,0
"31","NOT_V_MA","F","J",NA,NA,62,"4",0,0
"32","OGM_V_BA","M","J",57,80,40,"3",0,0
"33","MGO_V_BA",NA,"J",61,NA,NA,"2",0,0
"34","BT_V_BA","M","A",2,NA,NA,"2",0,0
"35","OPB_V_BA","M","A",NA,NA,37,"3",0,0
"36","BTO_V_BA",NA,NA,NA,NA,NA,"2",0,0
"37","NGP_V_MA",NA,"J",NA,NA,NA,"4",0,0
"38","N_V_BA","F","J",97,NA,NA,"2",0,0
"39","BGV_V_BA","M","J",63,NA,NA,"2",0,0
"40","OGV_V_BA","F","A",86,NA,NA,"2",0,0
"41","OVP_V_BA","M","J",28,NA,NA,"2",0,0
"42","TMB_V_BA","F","A",122,NA,NA,"2",0,0
"43","BV_V_BA","M","A",56,70,NA,"1",0,0
"44","OVG_V_BA","F","A",76,NA,49,"2",0,0
"45","MGV_V_BA","F","J",116,NA,NA,"2",0,0
"46","MPB_V_BA","F","A",NA,NA,NA,"2",0,0
"47","MTV_V_BA","M",NA,93,NA,NA,"2",0,0
"48","NPG_V_MA","M",NA,NA,NA,NA,"4",0,0
"49","TPN_V_BA","M","J",88,NA,NA,"2",0,0
"50","BOG_V_BA",NA,"J",74,56,NA,"1",0,0
"51","ONV_V_BA","M","J",77,NA,NA,"2",0,0
"52","OMG_V_BA","F","J",NA,NA,42,"2",0,0
"53","TNO_V_BA","M",NA,NA,NA,NA,"2",0,0
"54","ONO_V_BA","F","A",NA,NA,NA,"2",0,0
"55","TNP_V_BA",NA,"J",NA,NA,NA,"2",0,0
"56","TO_H_CG","M","A",NA,NA,NA,"2",0,0
"57","TPV_V_BA",NA,"J",NA,NA,NA,"2",0,0
"58","OMB_V_BA","M",NA,89,NA,NA,"3",0,0
"59","OPG_V_BA","F","A",73,NA,17,"3",0,0
"60","OT_V_BA",NA,NA,NA,NA,NA,"2",0,0
"61","TGT_V_BA","M","A",16,NA,NA,"2",0,0
"62","BNV_V_BA","M","A",68,47,NA,"2",0,0
"63","BVM_V_BA","M","A",17,NA,NA,"2",0,0
"64","MVB_N_BA",NA,NA,NA,NA,NA,"2",0,0
"65","B_V_BA","M","A",7,NA,NA,"2",0,0
"66","BTB_V_BA",NA,"J",125,NA,NA,"2",0,0
"67","X136","M","J",47,NA,NA,"2",0,0
"68","MOT_V_BA",NA,NA,NA,NA,NA,"2",0,0
"69","OMOG_V_BA","F","A",71,NA,NA,"2",0,0
"70","BG_V_BA","M","A",49,41,30,"3",0,0
"71","MPG_V_BA","F","A",105,NA,NA,"2",0,0
"72","Msmu_BA",NA,NA,NA,NA,NA,"2",0,0
"73","MTM_V_BA","M","J",35,NA,NA,"2",0,0
"74","VPG_V_BA","M",NA,NA,NA,20,"3",0,0
"75","TVG_V_BA",NA,"J",NA,NA,NA,"3",0,0
"76","VPT_V_BA","F","J",NA,NA,58,"3",0,0
"77","TNB_V_BA",NA,NA,NA,NA,NA,"2",0,0
"78","unknown",NA,NA,NA,NA,NA,NA,0,0
"79","TBG_V_BA",NA,NA,26,NA,NA,"2",0,0
"80","MTB_V_BA","F",NA,99,NA,NA,"2",0,0
"81","OMP_V_BA","F","J",NA,NA,NA,"2",0,0
"82","BVN_V_BA","F","A",94,NA,NA,"2",0,0
"83","MGM_V_BA","M","J",82,NA,NA,"2",0,0
"84","TNP_H_CG","M",NA,NA,30,NA,"1",0,0
"85","NTM_V_MA",NA,"J",NA,NA,NA,"3",0,0
"86","BMP_V_BA","F","J",91,NA,51,"3",0,0
"87","MNP_V_BA",NA,NA,98,NA,NA,"2",0,0
"88","BMV_V_BA","M","A",22,NA,NA,"2",0,0
"89","NOB_V_MA","F","A",NA,NA,NA,"4",0,0
"90","BGVN_V_BA",NA,"J",NA,NA,NA,"2",0,0
"91","BBV_V_BA","M","A",NA,24,NA,"2",0,0
"92","PVN_V_NB",NA,NA,NA,NA,22,"3",0,0
"93","VR_H_CG","M","J",NA,37,NA,"1",0,0
"94","TV_H_CG","M","A",NA,79,NA,"1",0,0
"95","BP_V_BA","M","A",70,NA,NA,"2",0,0
"96","BGM_V_BA",NA,"J",100,NA,NA,"2",0,0
"97","BMG_V_BA","M",NA,31,NA,NA,"2",0,0
"98","MPV_V_BA",NA,NA,62,NA,NA,"2",0,0
"99","BOB_V_BA","","",48,49,NA,"2",0,0
"100","TNV_H_CG","F","J",NA,52,NA,"1",0,0
"101","MPN_V_BA","M","J",102,NA,56,"2",0,0
"102","TVP_V_CG",NA,NA,NA,NA,NA,"1",0,0
"103","VBV_H_CG","F","A",65,NA,NA,"2",0,0
"104","BPV_V_BA","F","A",NA,NA,NA,"2",0,0
"105","TPV1_V_CG",NA,NA,NA,NA,NA,"1",0,0
"106","PTV_H_CG","M",NA,NA,NA,NA,"1",0,0
"107","OTBO_V_BA","M","A",NA,NA,NA,"2",0,0
"108","X11",NA,NA,NA,NA,NA,"1",1,0
"109","BNV_H_CG","F",NA,NA,NA,NA,"1",1,0
"110","TNG_V_CG",NA,NA,NA,NA,NA,"1",0,0
"111","VGV_H_CG","M","A",NA,NA,NA,"1",0,0
"112","PBG_H_CG","M","A",NA,NA,NA,"1",0,0
"113","VTG_H_CG","M",NA,NA,NA,NA,"1",0,0
"114","VPNT_H_CG","F","A",NA,NA,NA,"1",0,0
"115","VPV_H_CG","M","A",NA,NA,NA,"1",0,0
"116","VPG_H_CG","F","A",NA,NA,NA,"1",0,0
"117","VT_H_CG","F","A",NA,NA,NA,"1",0,0
"118","VNP_H_CG","F","A",NA,NA,NA,"1",0,0
"119","VPN_H_CG","M","A",NA,NA,NA,"1",0,0
"120","VNB_H_CG",NA,"J",NA,NA,NA,"1",0,0
"121","VPO_H_CG","M","A",NA,NA,NA,"1",0,0
"122","VOG_H_CG",NA,"J",NA,NA,NA,"1",0,0
"123","X42",NA,NA,NA,NA,NA,"1",0,0
