"","ID","ROOST"
"1","B_V_BA",1
"2","BBV_V_BA",1
"3","BG_V_BA",3
"4","BGB_V_BA",3
"5","BGM_V_BA",1
"6","BGN_V_BA",2
"7","BGO_V_BA",2
"8","BGP_V_BA",1
"9","BGT_V_BA",1
"10","BGV_V_BA",1
"11","BGVN_V_BA",1
"12","bigP_H_CG",2
"13","BM_V_BA",1
"14","BM_V_BA.1",NA
"15","BMB_V_BA",1
"16","BMG_V_BA",1
"17","BMN_V_BA",1
"18","BMO_V_BA",1
"19","BMP_V_BA",3
"20","BMT_V_BA",NA
"21","BMT_V_BA.1",NA
"22","BMV_V_BA",1
"23","BN_V_BA",NA
"24","BNB_V_BA",1
"25","BNG_V_BA",3
"26","BNG_V_BA.1",NA
"27","BNM_V_BA",3
"28","BNO_V_BA",1
"29","BNP_V_BA",1
"30","BNP_V_BA.1",NA
"31","BNT_V_BA",1
"32","BNT_V_BA.1",NA
"33","BNV_H_CG",2
"34","BNV_V_BA",1
"35","BO_V_BA",NA
"36","BOB_V_BA",1
"37","BOG_V_BA",2
"38","boldy_BA",1
"39","boldy_imp_BA",1
"40","BOM_V_BA",1
"41","BON_V_BA",1
"42","BOP_V_BA",NA
"43","BOT_V_BA.",1
"44","BP_V_BA",1
"45","BPB_V_BA",1
"46","BPG_V_BA",1
"47","BPM_V_BA",1
"48","BPN_V_BA",1
"49","BPO_V_BA",1
"50","BPT_V_BA",1
"51","BPV_V_BA",NA
"52","BPx_V_BA",NA
"53","broken.bill.female_BA",NA
"54","broken.right.wing",NA
"55","BT_V_BA",1
"56","BTB_V_BA",1
"57","BTG_V_BA",3
"58","BTM_V_BA",1
"59","BTN_V_BA",1
"60","BTO_V_BA",NA
"61","BTV_V_BA",1
"62","BV_V_BA",2
"63","BVB_V_BA",1
"64","BVG_V_BA",1
"65","BVM_V_BA",1
"66","BVN_V_BA",1
"67","BVO_V_BA",1
"68","BVP_V_BA",1
"69","BVT_V_BA",1
"70","dirtyL_BA",NA
"71","G_H_BG",NA
"72","G_V_NB",3
"73","GB_H_BG",2
"74","GB_V_NB",3
"75","GBG_H_BG",NA
"76","GBM_H_BG",NA
"77","GBM_V_NB",3
"78","GBN_H_BG",NA
"79","GBN_V_NB",3
"80","GBO_H_BG",NA
"81","GBO_V_NB",3
"82","GBP_H_BG",NA
"83","GBP_V_NB",NA
"84","GBT_V_NB",NA
"85","GBV_H_BG",NA
"86","GBV_V_NB",NA
"87","GM_H_BG",NA
"88","GM_V_NB",3
"89","GMB_H_BG",NA
"90","GMB_V_NB",NA
"91","GMG_H_BG",NA
"92","GMG_V_NB",NA
"93","GMN_H_BG",NA
"94","GMN_V_NB",NA
"95","GMO_H_BG",NA
"96","GMO_V_NB",3
"97","GMO_V_NB.1",NA
"98","GMP_H_BG",NA
"99","GMP_V_NB",3
"100","GMT_V_NB",NA
"101","GMV_H_BG",NA
"102","GMV_V_NB",3
"103","GN_H_CG",2
"104","GN_V_NB",3
"105","GNB_H_BG",NA
"106","GNB_V_NB",NA
"107","GNG_H_BG",1
"108","GNM_H_BG",NA
"109","GNM_V_NB",3
"110","GNO_H_BG",NA
"111","GNO_V_NB",NA
"112","GNP_V_NB",NA
"113","GNT_V_NB",3
"114","GNV_H_BG",NA
"115","GNV_V_NB",3
"116","GO_H_BG",NA
"117","GO_V_NB",3
"118","GOB_H_BG",2
"119","GOG_H_BG",NA
"120","GOG_V_NB",3
"121","GOM_H_BG",NA
"122","GON_H_BG",NA
"123","GOP_H_BG",3
"124","GOT_H_BG",NA
"125","GOV_H_BG",2
"126","GP_H_BG",NA
"127","GP_V_NB",3
"128","GPB_H_BG",NA
"129","GPB_V_NB",3
"130","GPBO_H_BG",NA
"131","GPG_H_BG",NA
"132","GPG_V_NB",3
"133","GPM_H_BG",NA
"134","GPN_V_NB",3
"135","GPO_H_BG",NA
"136","GPO_V_NB",3
"137","GPT_V_NB",NA
"138","GPV_H_BG",NA
"139","GT_H_BG",NA
"140","GT_V_NB",3
"141","GTG_H_BG",3
"142","GTG_V_NB",3
"143","GTN_H_BG",NA
"144","GTP_H_BG",NA
"145","GTV_H_BG",2
"146","GV_H_BG",NA
"147","GV_V_NB",3
"148","GVB_H_BG",NA
"149","GVG_H_BG",NA
"150","GVG_V_NB",NA
"151","GVM_H_BG",2
"152","GVM_neck_NB",NA
"153","GVN_H_BG",NA
"154","GVO_H_BG",NA
"155","GVOG_H_BG",NA
"156","GVP_H_BG",1
"157","GVT_H_BG",3
"158","GVT_V_NB",3
"159","HB_BA",1
"160","Hook_CG",NA
"161","Left.eye.injury",NA
"162","LittleBlind_NB",3
"163","M_V_BA",NA
"164","MB_V_BA",1
"165","MBG_V_BA",3
"166","MBM_V_BA",1
